2025-07-11 14:41:41,669 INFO    MainThread:14116 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-07-11 14:41:41,670 INFO    MainThread:14116 [wandb_setup.py:_flush():80] Configure stats pid to 14116
2025-07-11 14:41:41,670 INFO    MainThread:14116 [wandb_setup.py:_flush():80] Loading settings from C:\Users\Unliv\.config\wandb\settings
2025-07-11 14:41:41,670 INFO    MainThread:14116 [wandb_setup.py:_flush():80] Loading settings from C:\Users\Unliv\PycharmProjects\IndividualProjectRedone\wandb\settings
2025-07-11 14:41:41,670 INFO    MainThread:14116 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-07-11 14:41:41,670 INFO    MainThread:14116 [wandb_init.py:setup_run_log_directory():703] Logging user logs to C:\Users\Unliv\PycharmProjects\IndividualProjectRedone\wandb\run-20250711_144141-w8cekryx\logs\debug.log
2025-07-11 14:41:41,670 INFO    MainThread:14116 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to C:\Users\Unliv\PycharmProjects\IndividualProjectRedone\wandb\run-20250711_144141-w8cekryx\logs\debug-internal.log
2025-07-11 14:41:41,670 INFO    MainThread:14116 [wandb_init.py:init():830] calling init triggers
2025-07-11 14:41:41,670 INFO    MainThread:14116 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'train': {'agg_func': 'median', 'epochs': 3, 'weighted_dataset': True, 'image_size': 640, 'yolo': 8, 'train_tomato': False}, '_wandb': {}}
2025-07-11 14:41:41,670 INFO    MainThread:14116 [wandb_init.py:init():871] starting backend
2025-07-11 14:41:41,884 INFO    MainThread:14116 [wandb_init.py:init():874] sending inform_init request
2025-07-11 14:41:41,925 INFO    MainThread:14116 [wandb_init.py:init():882] backend started and connected
2025-07-11 14:41:41,926 INFO    MainThread:14116 [wandb_init.py:init():953] updated telemetry
2025-07-11 14:41:41,963 INFO    MainThread:14116 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-07-11 14:41:42,567 INFO    MainThread:14116 [wandb_init.py:init():1029] starting run threads in backend
2025-07-11 14:41:42,704 INFO    MainThread:14116 [wandb_run.py:_console_start():2458] atexit reg
2025-07-11 14:41:42,704 INFO    MainThread:14116 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-07-11 14:41:42,704 INFO    MainThread:14116 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-07-11 14:41:42,704 INFO    MainThread:14116 [wandb_run.py:_redirect():2398] Redirects installed.
2025-07-11 14:41:42,706 INFO    MainThread:14116 [wandb_init.py:init():1075] run started, returning control to user process
2025-07-11 14:41:42,885 INFO    MsgRouterThr:14116 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
